location_id,prana_name,city_name
agra_ind.34_1_in,Agra,Agra
ahmedabad_ind.11_1_in,Ahmedabad,Ahmedabad
akola_ind.20_1_in,Akola,Akola
alwar_ind.29_1_in,Alwar,Alwar
amravati_ind.20_1_in,Amravati,Amravati
amritsar_ind.28_1_in,Amritsar,Amritsar
anantapur_ind.2_1_in,Anantapur,Anantapur
angul_ind.26_1_in,Angul,Angul
asanol_ind.36_1_in,Asanol,Asanol
aurangabad_ind.20_1_in,Aurangabad,Aurangabad
baddi_ind.13_1_in,Baddi,Baddi
badlapur_ind.20_1_in,Badlapur,Badlapur
balasore_ind.26_1_in,Balasore,Balasore
bangalore_ind.16_1_in,Bangalore,Bangalore
bareilly_ind.34_1_in,Bareily,Bareilly
barrackpore_ind.36_1_in,Barrackpore,Barrackpore
bhilai_ind.7_1_in,Bhilai,Bhilai
bhopal_ind.19_1_in,Bhopal,Bhopal
bhubaneswar_ind.26_1_in,Bhubaneswar,Bhubaneswar
byrnihat_ind.4_1_in,Byrnihat,Byrnihat
chandigarh_ind.6_1_in,Chandigarh,Chandigarh
chandrapur_ind.20_1_in,Chandrapur,Chandrapur
chennai_ind.31_1_in,Chennai,Chennai
chittoor_ind.2_1_in,Chitoor,Chittoor
cuttack_ind.26_1_in,Cuttack,Cuttack
davanagere_ind.16_1_in,Devanagere,Davanagere
dehradun_ind.35_1_in,Dehradun,Dehradun
delhi_ind.25_1_in,Delhi,Delhi
dewas_ind.19_1_in,Dewas,Dewas
dhanbad_ind.15_1_in,Dhanbad,Dhanbad
dharwad_ind.16_1_in,Hubli Dharwad,Dharwad
durgapur_ind.36_1_in,Durgapur,Durgapur
faridabad_ind.12_1_in,Faridabad,Faridabad
firozabad_ind.34_1_in,Firozabad,Firozabad
gaya_ind.5_1_in,Gaya,Gaya
ghaziabad_ind.34_1_in,Ghaziabad,Ghaziabad
gorakhpur_ind.34_1_in,Gorakhpur,Gorakhpur
guwahati_ind.4_1_in,Guwahati,Guwahati
gwalior_ind.19_1_in,Gwalior,Gwalior
haldia_ind.36_1_in,Haldia,Haldia
howrah_ind.36_1_in,Howrah,Howrah
hyderabad_ind.32_1_in,Hyderabad,Hyderabad
indore_ind.19_1_in,Indore,Indore
jabalpur_ind.19_1_in,Jabalpur,Jabalpur
jaipur_ind.29_1_in,Jaipur,Jaipur
jalandhar_ind.28_1_in,Jalandhar,Jalandhar
jalgaon_ind.20_1_in,Jalgaon,Jalgaon
jalna_ind.20_1_in,Jalna,Jalna
jhansi_ind.34_1_in,Jhansi,Jhansi
jodhpur_ind.29_1_in,Jodhpur,Jodhpur
kadapa_ind.2_1_in,Kadapa,Kadapa
kalaburagi_ind.16_1_in,Gulburga,Kalaburagi
kanpur_ind.34_1_in,Kanpur,Kanpur
kashipur_ind.35_1_in,Kashipur,Kashipur
khanna_ind.28_1_in,Khanna,Khanna
khurja_ind.34_1_in,Khurja,Khurja
kohima_ind.24_1_in,Kohima,Kohima
kolhapur_ind.20_1_in,Kolhapur,Kolhapur
kolkata_ind.36_1_in,Kolkata,Kolkata
korba_ind.7_1_in,Korba,Korba
kota_ind.29_1_in,Kota,Kota
latur_ind.20_1_in,Latur,Latur
lucknow_ind.34_1_in,Lucknow,Lucknow
ludhiana_ind.28_1_in,Ludhiana,Ludhiana
mandigobindgarh_ind.28_1_in,Gobindgarh,Mandigobindgarh
meerut_ind.34_1_in,Meerut,Meerut
mumbai_ind.20_1_in,Mumbai,Mumbai
muradabad_ind.34_1_in,Moradabad,Muradabad
muzaffarpur_ind.5_1_in,Muzaffarpur,Muzaffarpur
nagaon_ind.4_1_in,Nagaon,Nagaon
nagpur_ind.20_1_in,Nagpur,Nagpur
nalbari_ind.4_1_in,Nalbari,Nalbari
nashik_ind.20_1_in,Nashik,Nashik
navi mumbai_ind.20_1_in,Navi Mumbai,Navi Mumbai
noida_ind.34_1_in,Noida,Noida
patiala_ind.28_1_in,Patiala,Patiala
patna_ind.5_1_in,Patna,Patna
pune_ind.20_1_in,Pune,Pune
raipur_ind.7_1_in,Raipur,Raipur
rajamahendravaram_ind.2_1_in,Rajahmundry,Rajamahendravaram
rishikesh_ind.35_1_in,Rishikesh,Rishikesh
rourkela_ind.26_1_in,Rourkela,Rourkela
sagar_ind.19_1_in,Sagar,Sagar
sangli_ind.20_1_in,Sangli,Sangli
silchar_ind.4_1_in,Silchar,Silchar
sivasagar_ind.4_1_in,Sibagar,Sivasagar
solapur_ind.20_1_in,Solapur,Solapur
srinagar_ind.14_1_in,Srinagar,Srinagar
surat_ind.11_1_in,Surat,Surat
talcher_ind.26_1_in,Talcher,Talcher
thane_ind.20_1_in,Thane,Thane
thoothukodi_ind.31_1_in,Thoothukudi,Thoothukodi
udaipur_ind.29_1_in,Udaipur,Udaipur
ujjain_ind.19_1_in,Ujjain,Ujjain
ulhasnagar_ind.20_1_in,Ulhasnagar,Ulhasnagar
varanasi_ind.34_1_in,Varanasi,Varanasi
vijayawada_ind.2_1_in,Vijayawada,Vijayawada
virar_ind.20_1_in,Vasai Virar,Virar
visakhapatnam_ind.2_1_in,Vishakhapatnam,Visakhapatnam
