location_id,location_name,poll
akola_ind.20_1_in,Akola,pm10
akola_ind.20_1_in,Akola,pm25
amravati_ind.20_1_in,Amravati,pm10
amravati_ind.20_1_in,Amravati,pm25
anantapur_ind.2_1_in,Anantapur,pm10
anantapur_ind.2_1_in,Anantapur,pm25
angul_ind.26_1_in,Angul,pm10
angul_ind.26_1_in,Angul,pm25
badlapur_ind.20_1_in,Badlapur,pm10
badlapur_ind.20_1_in,Badlapur,pm25
balasore_ind.26_1_in,Balasore,pm10
balasore_ind.26_1_in,Balasore,pm25
bareilly_ind.34_1_in,Bareilly,pm10
bareilly_ind.34_1_in,Bareilly,pm25
barrackpore_ind.36_1_in,Barrackpore,pm10
barrackpore_ind.36_1_in,Barrackpore,pm25
bhilai_ind.7_1_in,Bhilai,pm10
bhilai_ind.7_1_in,Bhilai,pm25
bhubaneswar_ind.26_1_in,Bhubaneswar,pm10
bhubaneswar_ind.26_1_in,Bhubaneswar,pm25
byrnihat_ind.4_1_in,Byrnihat,pm10
byrnihat_ind.4_1_in,Byrnihat,pm25
chittoor_ind.2_1_in,Chittoor,pm10
chittoor_ind.2_1_in,Chittoor,pm25
cuttack_ind.26_1_in,Cuttack,pm10
cuttack_ind.26_1_in,Cuttack,pm25
dehradun_ind.35_1_in,Dehradun,pm10
dehradun_ind.35_1_in,Dehradun,pm25
dewas_ind.19_1_in,Dewas,pm10
dewas_ind.19_1_in,Dewas,pm25
dhanbad_ind.15_1_in,Dhanbad,pm10
dhanbad_ind.15_1_in,Dhanbad,pm25
dharwad_ind.16_1_in,Dharwad,pm10
dharwad_ind.16_1_in,Dharwad,pm25
indore_ind.19_1_in,Indore,pm25
jalgaon_ind.20_1_in,Jalgaon,pm10
jalgaon_ind.20_1_in,Jalgaon,pm25
jalna_ind.20_1_in,Jalna,pm10
jalna_ind.20_1_in,Jalna,pm25
kadapa_ind.2_1_in,Kadapa,pm10
kadapa_ind.2_1_in,Kadapa,pm25
kalaburagi_ind.16_1_in,Kalaburagi,pm10
kalaburagi_ind.16_1_in,Kalaburagi,pm25
kashipur_ind.35_1_in,Kashipur,pm10
kashipur_ind.35_1_in,Kashipur,pm25
khurja_ind.34_1_in,Khurja,pm10
khurja_ind.34_1_in,Khurja,pm25
kolhapur_ind.20_1_in,Kolhapur,pm10
kolhapur_ind.20_1_in,Kolhapur,pm25
korba_ind.7_1_in,Korba,pm10
korba_ind.7_1_in,Korba,pm25
latur_ind.20_1_in,Latur,pm10
latur_ind.20_1_in,Latur,pm25
nagaon_ind.4_1_in,Nagaon,pm10
nagaon_ind.4_1_in,Nagaon,pm25
nalbari_ind.4_1_in,Nalbari,pm10
nalbari_ind.4_1_in,Nalbari,pm25
pune_ind.20_1_in,Pune,pm10
pune_ind.20_1_in,Pune,pm25
raipur_ind.7_1_in,Raipur,pm10
raipur_ind.7_1_in,Raipur,pm25
rishikesh_ind.35_1_in,Rishikesh,pm10
rishikesh_ind.35_1_in,Rishikesh,pm25
rourkela_ind.26_1_in,Rourkela,pm10
rourkela_ind.26_1_in,Rourkela,pm25
sagar_ind.19_1_in,Sagar,pm10
sangli_ind.20_1_in,Sangli,pm10
sangli_ind.20_1_in,Sangli,pm25
silchar_ind.4_1_in,Silchar,pm10
silchar_ind.4_1_in,Silchar,pm25
sivasagar_ind.4_1_in,Sivasagar,pm10
sivasagar_ind.4_1_in,Sivasagar,pm25
srinagar_ind.14_1_in,Srinagar,pm10
srinagar_ind.14_1_in,Srinagar,pm25
surat_ind.11_1_in,Surat,pm10
surat_ind.11_1_in,Surat,pm25
thane_ind.20_1_in,Thane,pm10
thane_ind.20_1_in,Thane,pm25
ujjain_ind.19_1_in,Ujjain,pm10
ujjain_ind.19_1_in,Ujjain,pm25
ulhasnagar_ind.20_1_in,Ulhasnagar,pm10
ulhasnagar_ind.20_1_in,Ulhasnagar,pm25
vijayawada_ind.2_1_in,Vijayawada,pm10
vijayawada_ind.2_1_in,Vijayawada,pm25
virar_ind.20_1_in,Virar,pm10
virar_ind.20_1_in,Virar,pm25
