location_name,FY 2022-2023 to FY 2023-2024,FY 2020-2021 to FY 2023-2024,FY 2021-2022 to FY 2023-2024,FY 2017-2018 to FY 2023-2024,FY 2018-2019 to FY 2023-2024,FY 2019-2020 to FY 2023-2024,unit
Agra,'+3 (+2.3),NA,NA,NA,NA,NA,µg/m³
Ahmedabad,'-7.2 (-1.9),'-19.6 (-8.6),'-5.3 (-6.2),NA,NA,NA,µg/m³
Amritsar,'+0.1 (+0.3),'+10.3 (+6.7),'-0.5 (-2.2),'-44.7 (-38.4),'-1 (-6.7),'+8.7 (+3.3),µg/m³
Asanol,'-41 (-30.9),'-6.1 (+0.6),'+10.5 (+2.7),NA,'+5.7 (+7.5),'+9.8 (+8.8),µg/m³
Aurangabad,'-14.4 (-12.4),'+34.1 (+30.2),'+15.2 (+15.8),NA,'+17.9 (+14.9),'+21.8 (+20.6),µg/m³
Baddi,'-15.8 (-17.8),NA,NA,NA,NA,NA,µg/m³
Bangalore,'+1.5 (+1.3),'+8.5 (+5.1),'+8.1 (+4),'-0.6 (+1.8),NA,'-0.2 (-3),µg/m³
Bhopal,'-14.3 (-10.5),'+1.3 (-3.4),'-6 (-7.4),NA,NA,NA,µg/m³
Chandigarh,'+3.9 (+8.5),'+38.8 (+35.1),'+27 (+21),NA,NA,NA,µg/m³
Chandrapur,'-15 (-13.5),'+3.5 (+6.3),'-0.4 (-6.8),'-19.1 (-13.2),'-7.3 (-9.5),'+9.9 (+3.4),µg/m³
Davanagere,'+0.8 (-0.9),NA,'+1.7 (-3.8),NA,NA,NA,µg/m³
Delhi,'-4.7 (-2.2),'+6.9 (+7.8),'+8 (-0.3),'-22.3 (-17.3),'-30.2 (-24.9),'+1 (+2.5),µg/m³
Dewas,NA,'+12.1 (+9.3),'+16.3 (+14),NA,'-21.3 (-15.6),'+6 (-0.6),µg/m³
Durgapur,'-35.3 (-41.7),NA,'-79.9 (-74.7),'-53.5 (-53.1),NA,NA,µg/m³
Faridabad,'-22.4 (-12.5),'-35.5 (-28.8),'-18.4 (-23.6),NA,NA,NA,µg/m³
Firozabad,'-3.6 (-2.1),NA,NA,NA,NA,NA,µg/m³
Gaya,'-46.2 (-41.4),'+32.7 (+29.3),'+7.9 (+7.6),NA,NA,NA,µg/m³
Ghaziabad,'-27.4 (-25.4),'-52.2 (-46.3),'-44.5 (-49.3),NA,'-78.9 (-80.6),'-56.2 (-52),µg/m³
Gorakhpur,'+19.4 (+15.2),NA,NA,NA,NA,NA,µg/m³
Guwahati,'+23.9 (+13.6),'+3.2 (+9.7),'+23 (+19.4),NA,NA,'+11.9 (+6.4),µg/m³
Gwalior,'-10.9 (-5.3),'+7.9 (+4.1),'+25.1 (+15.7),NA,NA,NA,µg/m³
Haldia,'-0.1 (-3.8),NA,NA,'-13.4 (-14.2),'-10.6 (-12),NA,µg/m³
Howrah,'-1.3 (-8.6),'-11.8 (-8.9),'-11.3 (-16.4),NA,'-35 (-31.8),'-24.2 (-23.2),µg/m³
Hyderabad,'+1.7 (-0.5),'-5 (-5.8),'-5.1 (-9.1),'-18.8 (-13.3),'-14.7 (-13.7),'-4.3 (-10.2),µg/m³
Indore,'-10.9 (-4.9),'-2.4 (-1),'-9.6 (-8.9),NA,NA,NA,µg/m³
Jabalpur,'-42.2 (-28),'-20.9 (-14.5),'-28.1 (-23),NA,NA,NA,µg/m³
Jaipur,'+10.5 (+13.6),'+25 (+25.5),'+13.2 (+11.5),NA,'+1.2 (+4.5),'+23.7 (+22.9),µg/m³
Jalandhar,'-9.8 (-6.5),'+3 (+3.7),'-3.2 (-3.8),NA,'+10.2 (+5.3),'-10.3 (-12.9),µg/m³
Jhansi,'-24.3 (-26.4),NA,NA,NA,NA,NA,µg/m³
Jodhpur,'-28.4 (-16.9),'-24.9 (-18),'-31.8 (-28.7),NA,'-73.8 (-64.6),'-43 (-36.5),µg/m³
Kanpur,'-9.1 (-12.8),NA,NA,NA,NA,NA,µg/m³
Khanna,'-6.5 (-1.9),'-4.4 (-3.4),'-9.3 (-8.9),NA,NA,'-1.3 (-2.2),µg/m³
Kohima,'-5.9 (-5.6),NA,'-0.7 (-2.3),NA,NA,NA,µg/m³
Kolkata,'-0.9 (-7.8),'-11.5 (-12.1),'-8 (-15.7),NA,NA,'-12.9 (-15.8),µg/m³
Kota,'-4.9 (+1.4),'+28.3 (+27.6),'+14 (+11.9),NA,'-17.2 (-10.6),'+22.8 (+21.1),µg/m³
Lucknow,'-16 (-11.2),NA,'-12.9 (-23.2),NA,NA,NA,µg/m³
Ludhiana,'-14 (-5.1),NA,'+8.4 (+10.4),NA,'+22.1 (+24),'+25 (+21.9),µg/m³
Meerut,'-27.9 (-18.5),'-51.8 (-33.8),'-35.9 (-37.2),NA,NA,NA,µg/m³
Mumbai,'-22.7 (-10.2),'-3.1 (+1),'-11.6 (-9.4),NA,NA,'+3.3 (+0.8),µg/m³
Muradabad,'+5.9 (+3.8),NA,'-39.9 (-59.3),NA,'-104.4 (-102.1),'-81 (-85.2),µg/m³
Muzaffarpur,'-6.9 (-17),NA,'+16.3 (+9.4),NA,NA,NA,µg/m³
Nagpur,'-5.1 (-0.5),'+42.6 (+35.9),'+29.2 (+24.5),'+9.6 (+11.7),'+9.7 (+11.6),'+30.1 (+27.8),µg/m³
Nashik,'+5.7 (+6.6),'+19.3 (+15.3),'+13.9 (+10.2),NA,'+5.1 (+6),'+8.6 (+6.1),µg/m³
Navi Mumbai,'-18.1 (-11.3),'+7.2 (+16.3),'-3.4 (-4.5),'+44.7 (+52.3),'+18.7 (+31.2),'+17.6 (+15.7),µg/m³
Noida,'-16.2 (-6.9),'-14 (-15.2),'-12.7 (-19.1),NA,'-57.8 (-44.6),'-22.9 (-23.2),µg/m³
Patiala,'-14.1 (-6.1),'-8.5 (-4.9),'-17.8 (-12.6),NA,'-8.1 (-6.8),'-13.3 (-14.9),µg/m³
Patna,'-2.2 (+1.1),'+64.1 (+63.1),'+56 (+37.5),NA,NA,NA,µg/m³
Pune,NA,NA,'+18.1 (+11.8),NA,NA,'+16.8 (+8.9),µg/m³
Rajamahendravaram,'+7.6 (+5),'+5.5 (+1.5),'+7.9 (+0.1),NA,'-2.9 (-6.6),'+13.5 (+2.9),µg/m³
Solapur,'+10.6 (+12.1),NA,'+40.8 (+36),'+9.8 (+7.7),NA,'+10.2 (+3.3),µg/m³
Talcher,'+24.1 (+25.1),'+13 (+13.1),'+33.7 (+25.7),NA,NA,'-31.9 (-51.6),µg/m³
Thane,NA,'-13.3 (-1.6),NA,NA,'+0.7 (+3.4),'+50.8 (+43.4),µg/m³
Udaipur,'-8.3 (-2.6),'+12.9 (+17.2),'-6 (-5.7),NA,'-32 (-24.2),'+14.4 (+15),µg/m³
Varanasi,'-20.6 (-21.7),NA,'-48.3 (-48.3),NA,'-156.5 (-162.6),NA,µg/m³
Visakhapatnam,'+3.4 (+0),'+16.7 (+14),'+23.6 (+9.9),NA,'+10 (+4.3),'+25 (+11.8),µg/m³
