location_name,poll,rsquared_testing,period,delta_observed,delta_trend,delta_weather
Agra,pm10,0.8305292754403572,FY 2022-2023 to FY 2023-2024,2.9755216337133845,2.3185170561838646,0.6570045775295199
Ahmedabad,pm10,0.7135056267693027,FY 2022-2023 to FY 2023-2024,-7.183130595072058,-1.8707149663245701,-5.3124156287474875
Amritsar,pm10,0.7175104377680632,FY 2022-2023 to FY 2023-2024,0.12863315995069513,0.266764232066393,-0.13813107211569786
Asanol,pm10,0.8895221540859161,FY 2022-2023 to FY 2023-2024,-41.04523336829784,-30.874068562226128,-10.171164806071715
Aurangabad,pm10,0.6451429401877178,FY 2022-2023 to FY 2023-2024,-14.448496344708005,-12.423640587008592,-2.024855757699413
Baddi,pm10,0.7250566742504438,FY 2022-2023 to FY 2023-2024,-15.772638809287372,-17.838799562182118,2.0661607528947457
Bangalore,pm10,0.7067599786179837,FY 2022-2023 to FY 2023-2024,1.4972613564977166,1.2730175932888272,0.2242437632088894
Bhopal,pm10,0.7624141512528531,FY 2022-2023 to FY 2023-2024,-14.303836650833517,-10.540255910712474,-3.763580740121043
Chandigarh,pm10,0.7599550726740627,FY 2022-2023 to FY 2023-2024,3.9278543860280593,8.51017052666603,-4.582316140637971
Chandrapur,pm10,0.7091162280233627,FY 2022-2023 to FY 2023-2024,-15.018293207408377,-13.524157644323665,-1.4941355630847113
Davanagere,pm10,0.8497898807737312,FY 2022-2023 to FY 2023-2024,0.7830693175470103,-0.9238148064714906,1.7068841240185009
Delhi,pm10,0.7975653860625986,FY 2022-2023 to FY 2023-2024,-4.66813348845065,-2.17486009651401,-2.49327339193664
Durgapur,pm10,0.8353324955988091,FY 2022-2023 to FY 2023-2024,-35.34227664941366,-41.74503944830113,6.402762798887466
Faridabad,pm10,0.7558020075811458,FY 2022-2023 to FY 2023-2024,-22.427397590909578,-12.523763102829065,-9.903634488080513
Firozabad,pm10,0.7486405606861314,FY 2022-2023 to FY 2023-2024,-3.5631230232539366,-2.121326282937744,-1.4417967403161924
Gaya,pm10,0.8520756516922092,FY 2022-2023 to FY 2023-2024,-46.15948614234398,-41.41869228754548,-4.740793854798497
Ghaziabad,pm10,0.857942471323004,FY 2022-2023 to FY 2023-2024,-27.423637189736525,-25.383814009782782,-2.0398231799537427
Gorakhpur,pm10,0.822432588493057,FY 2022-2023 to FY 2023-2024,19.419619388636136,15.183546703639266,4.23607268499687
Guwahati,pm10,0.8343445348123478,FY 2022-2023 to FY 2023-2024,23.854213801114525,13.567634073423775,10.28657972769075
Gwalior,pm10,0.8130971830995607,FY 2022-2023 to FY 2023-2024,-10.946668136773951,-5.263260954941444,-5.683407181832507
Haldia,pm10,0.7325284261224918,FY 2022-2023 to FY 2023-2024,-0.10566539199548686,-3.802729776125318,3.697064384129831
Howrah,pm10,0.8747404713435196,FY 2022-2023 to FY 2023-2024,-1.313832925857497,-8.559189017956115,7.245356092098618
Hyderabad,pm10,0.8750332162721671,FY 2022-2023 to FY 2023-2024,1.6980252279415282,-0.45701045370412885,2.155035681645657
Indore,pm10,0.7236239832399598,FY 2022-2023 to FY 2023-2024,-10.887309081811864,-4.909755248158831,-5.977553833653033
Jabalpur,pm10,0.8538297341553925,FY 2022-2023 to FY 2023-2024,-42.15112584149175,-28.005617411271146,-14.145508430220602
Jaipur,pm10,0.6982965099860845,FY 2022-2023 to FY 2023-2024,10.514184601235186,13.557418368116757,-3.0432337668815705
Jalandhar,pm10,0.6824888135246315,FY 2022-2023 to FY 2023-2024,-9.805701808265354,-6.51348068548721,-3.2922211227781446
Jhansi,pm10,0.7243595955302583,FY 2022-2023 to FY 2023-2024,-24.30398510212403,-26.437216072633106,2.133230970509075
Jodhpur,pm10,0.7160210284893327,FY 2022-2023 to FY 2023-2024,-28.37473725422828,-16.904123482370522,-11.470613771857757
Kanpur,pm10,0.6202770259378617,FY 2022-2023 to FY 2023-2024,-9.136858447684531,-12.82314082553252,3.686282377847988
Khanna,pm10,0.6935700290782706,FY 2022-2023 to FY 2023-2024,-6.469555123447563,-1.864864224407043,-4.60469089904052
Kohima,pm10,0.8051724474048789,FY 2022-2023 to FY 2023-2024,-5.918209338782503,-5.601969715581262,-0.3162396232012412
Kolkata,pm10,0.8885983419258904,FY 2022-2023 to FY 2023-2024,-0.8731908293446082,-7.837571213427822,6.9643803840832135
Kota,pm10,0.7336812268207202,FY 2022-2023 to FY 2023-2024,-4.907767944333727,1.4278426228301697,-6.335610567163897
Lucknow,pm10,0.9025353122057158,FY 2022-2023 to FY 2023-2024,-16.010808664940257,-11.202198756119074,-4.8086099088211824
Ludhiana,pm10,0.6617686272483402,FY 2022-2023 to FY 2023-2024,-13.97217269948311,-5.126544589835447,-8.845628109647663
Meerut,pm10,0.8087893367503259,FY 2022-2023 to FY 2023-2024,-27.90297330251815,-18.538741488419618,-9.364231814098531
Mumbai,pm10,0.8710644362532682,FY 2022-2023 to FY 2023-2024,-22.673956377491038,-10.17527158893752,-12.498684788553518
Muradabad,pm10,0.7799098187304448,FY 2022-2023 to FY 2023-2024,5.9315419414881205,3.7866294355870878,2.1449125059010328
Muzaffarpur,pm10,0.8013043864286432,FY 2022-2023 to FY 2023-2024,-6.867031237997082,-16.979253168752223,10.11222193075514
Nagpur,pm10,0.8405961501473436,FY 2022-2023 to FY 2023-2024,-5.108561478198837,-0.4845518018742325,-4.624009676324604
Nashik,pm10,0.7758727893256651,FY 2022-2023 to FY 2023-2024,5.7438050727085965,6.645482987336521,-0.9016779146279248
Navi Mumbai,pm10,0.8552941019705851,FY 2022-2023 to FY 2023-2024,-18.119724383246634,-11.329098558337193,-6.790625824909441
Noida,pm10,0.83201868610992,FY 2022-2023 to FY 2023-2024,-16.245345695690162,-6.863622855919232,-9.38172283977093
Patiala,pm10,0.7394227163350593,FY 2022-2023 to FY 2023-2024,-14.074176860126258,-6.072588458199078,-8.00158840192718
Patna,pm10,0.8668024436521458,FY 2022-2023 to FY 2023-2024,-2.206227292880129,1.1111245090554576,-3.3173518019355868
Rajamahendravaram,pm10,0.8407155243870449,FY 2022-2023 to FY 2023-2024,7.596278487494544,4.967155464559454,2.62912302293509
Solapur,pm10,0.8343891681783377,FY 2022-2023 to FY 2023-2024,10.597027771265957,12.124059872308422,-1.5270321010424652
Talcher,pm10,0.8649203321416721,FY 2022-2023 to FY 2023-2024,24.120251977117775,25.1374888990905,-1.0172369219727244
Udaipur,pm10,0.7276305752544613,FY 2022-2023 to FY 2023-2024,-8.32730966406649,-2.6280907324117777,-5.699218931654713
Varanasi,pm10,0.8330761283300127,FY 2022-2023 to FY 2023-2024,-20.600743397667372,-21.718272736318518,1.1175293386511456
Visakhapatnam,pm10,0.7190749522597639,FY 2022-2023 to FY 2023-2024,3.4247806077869853,0.035765403744676405,3.389015204042309
